--- scanner 0 ---
-773,510,756
-904,665,-683
-949,599,-518
599,799,629
-122,-111,-95
560,662,533
-686,-754,805
-839,-617,-765
347,454,-867
542,-522,-441
-863,658,722
738,-505,374
-801,-642,-624
-32,49,-190
-834,542,-642
-814,-652,-687
-873,692,746
300,538,-988
-736,-757,599
265,556,-839
-812,-827,739
543,691,661
642,-622,346
567,-504,-503
721,-742,345
645,-562,-414

--- scanner 11 ---
-578,-588,-612
-592,764,604
675,-691,-838
-696,-506,-516
650,-783,-704
741,541,452
-768,-510,515
528,-859,660
-321,310,-684
748,370,-457
780,637,315
481,-980,576
-682,730,456
804,459,-421
588,-790,-877
724,669,423
-723,-675,449
446,-831,558
-692,754,422
-434,370,-756
659,399,-418
-366,523,-721
95,-125,-32
-651,-621,-493
-653,-634,572
